estacao,poluente,data_hora,indice_qualidade_ar,classificacao
BOTELHO,CO,2025-07-03 17:00,0.89,Boa
BOTELHO,CO,2025-07-03 18:00,0.89,Boa
BOTELHO,CO,2025-07-03 19:00,0.44,Boa
BOTELHO,CO,2025-07-03 20:00,0.44,Boa
BOTELHO,CO,2025-07-03 21:00,0.44,Boa
BOTELHO,CO,2025-07-03 22:00,0.44,Boa
BOTELHO,CO,2025-07-03 23:00,0.44,Boa
BOTELHO,CO,2025-07-04 00:00,0.44,Boa
BOTELHO,CO,2025-07-04 01:00,0.44,Boa
BOTELHO,CO,2025-07-04 02:00,0.44,Boa
BOTELHO,CO,2025-07-04 03:00,0.44,Boa
BOTELHO,CO,2025-07-04 04:00,0.44,Boa
BOTELHO,CO,2025-07-04 05:00,0.44,Boa
BOTELHO,CO,2025-07-04 06:00,0.44,Boa
BOTELHO,CO,2025-07-04 07:00,0.44,Boa
BOTELHO,CO,2025-07-04 08:00,0.44,Boa
BOTELHO,CO,2025-07-04 09:00,0.44,Boa
BOTELHO,CO,2025-07-04 10:00,0.44,Boa
BOTELHO,CO,2025-07-04 11:00,0.44,Boa
BOTELHO,CO,2025-07-04 14:00,0.44,Boa
BOTELHO,CO,2025-07-04 15:00,0.44,Boa
BOTELHO,CO,2025-07-04 16:00,0.44,Boa
BOTELHO,NO₂,2025-07-03 17:00,4.02,Boa
BOTELHO,NO₂,2025-07-03 18:00,4.02,Boa
BOTELHO,NO₂,2025-07-03 19:00,4.02,Boa
BOTELHO,NO₂,2025-07-03 20:00,4.02,Boa
BOTELHO,NO₂,2025-07-03 21:00,4.02,Boa
BOTELHO,NO₂,2025-07-03 22:00,2.66,Boa
BOTELHO,NO₂,2025-07-03 23:00,2.66,Boa
BOTELHO,NO₂,2025-07-04 00:00,2.66,Boa
BOTELHO,NO₂,2025-07-04 01:00,2.66,Boa
BOTELHO,NO₂,2025-07-04 02:00,2.66,Boa
BOTELHO,NO₂,2025-07-04 03:00,3.22,Boa
BOTELHO,NO₂,2025-07-04 04:00,3.22,Boa
BOTELHO,NO₂,2025-07-04 05:00,3.22,Boa
BOTELHO,NO₂,2025-07-04 06:00,3.22,Boa
BOTELHO,NO₂,2025-07-04 07:00,3.22,Boa
BOTELHO,NO₂,2025-07-04 08:00,3.22,Boa
BOTELHO,NO₂,2025-07-04 09:00,3.22,Boa
BOTELHO,NO₂,2025-07-04 10:00,3.22,Boa
BOTELHO,NO₂,2025-07-04 11:00,3.22,Boa
BOTELHO,NO₂,2025-07-04 12:00,1.58,Boa
BOTELHO,NO₂,2025-07-04 13:00,1.58,Boa
BOTELHO,NO₂,2025-07-04 14:00,3.22,Boa
BOTELHO,NO₂,2025-07-04 15:00,3.22,Boa
BOTELHO,NO₂,2025-07-04 16:00,3.22,Boa
BOTELHO,O₃,2025-07-03 17:00,19.72,Boa
BOTELHO,O₃,2025-07-03 18:00,19.92,Boa
BOTELHO,O₃,2025-07-03 19:00,19.92,Boa
BOTELHO,O₃,2025-07-03 20:00,19.92,Boa
BOTELHO,O₃,2025-07-03 21:00,19.92,Boa
BOTELHO,O₃,2025-07-03 22:00,19.92,Boa
BOTELHO,O₃,2025-07-03 23:00,19.92,Boa
BOTELHO,O₃,2025-07-04 00:00,19.92,Boa
BOTELHO,O₃,2025-07-04 01:00,19.92,Boa
BOTELHO,O₃,2025-07-04 02:00,19.92,Boa
BOTELHO,O₃,2025-07-04 03:00,19.92,Boa
BOTELHO,O₃,2025-07-04 04:00,19.92,Boa
BOTELHO,O₃,2025-07-04 05:00,19.92,Boa
BOTELHO,O₃,2025-07-04 06:00,19.92,Boa
BOTELHO,O₃,2025-07-04 07:00,19.92,Boa
BOTELHO,O₃,2025-07-04 08:00,19.92,Boa
BOTELHO,O₃,2025-07-04 09:00,19.92,Boa
BOTELHO,O₃,2025-07-04 10:00,19.92,Boa
BOTELHO,O₃,2025-07-04 11:00,19.6,Boa
BOTELHO,O₃,2025-07-04 14:00,18.2,Boa
BOTELHO,O₃,2025-07-04 15:00,17.44,Boa
BOTELHO,O₃,2025-07-04 16:00,17.12,Boa
BOTELHO,SO₂,2025-07-03 17:00,3.0,Boa
BOTELHO,SO₂,2025-07-03 18:00,2.8,Boa
BOTELHO,SO₂,2025-07-03 19:00,2.6,Boa
BOTELHO,SO₂,2025-07-03 20:00,2.2,Boa
BOTELHO,SO₂,2025-07-03 21:00,2.0,Boa
BOTELHO,SO₂,2025-07-03 22:00,1.6,Boa
BOTELHO,SO₂,2025-07-03 23:00,1.4,Boa
BOTELHO,SO₂,2025-07-04 00:00,1.2,Boa
BOTELHO,SO₂,2025-07-04 01:00,1.0,Boa
BOTELHO,SO₂,2025-07-04 02:00,1.2,Boa
BOTELHO,SO₂,2025-07-04 03:00,1.2,Boa
BOTELHO,SO₂,2025-07-04 04:00,1.2,Boa
BOTELHO,SO₂,2025-07-04 05:00,1.2,Boa
BOTELHO,SO₂,2025-07-04 06:00,1.2,Boa
BOTELHO,SO₂,2025-07-04 07:00,1.2,Boa
BOTELHO,SO₂,2025-07-04 08:00,1.2,Boa
BOTELHO,SO₂,2025-07-04 09:00,1.4,Boa
BOTELHO,SO₂,2025-07-04 10:00,1.4,Boa
BOTELHO,SO₂,2025-07-04 11:00,1.4,Boa
BOTELHO,SO₂,2025-07-04 12:00,22.2,Boa
BOTELHO,SO₂,2025-07-04 13:00,13.0,Boa
BOTELHO,SO₂,2025-07-04 14:00,1.4,Boa
BOTELHO,SO₂,2025-07-04 15:00,1.2,Boa
BOTELHO,SO₂,2025-07-04 16:00,1.2,Boa
